Tx,Px,Hx,D,Ty,Py,Hy
30.0,1200.0,65,0.806225774829855,25.016761300923733,1077.1255922451537,53.48136836482828
30.0,1200.0,65,0.9055385138137417,24.50479763833184,1066.6394408271287,52.16117717533781
30.0,1200.0,65,1.004987562112089,24.02317400647309,1057.3713744666381,50.87180609459139
30.0,1200.0,65,1.104536101718726,23.573393471486654,1049.2957619506383,49.61649478165369
30.0,1200.0,65,1.2041594578792296,23.15635969988555,1042.3578516576765,48.39803603475302
30.0,1200.0,65,1.3038404810405297,22.772429245145197,1036.4804974971848,47.21883152303441
30.0,1200.0,65,1.4035668847618201,22.42146247263822,1031.5707814908308,46.08092216856318
30.0,1200.0,65,1.5033296378372907,22.102877121821482,1027.526266154931,44.986006458163544
30.0,1200.0,65,1.6031219541881399,21.815705322659426,1024.2406105494242,43.93545335626004
30.0,1200.0,65,1.7029386365926402,21.558653368550278,1021.6083432721892,42.93031330936721
30.0,1200.0,65,1.8027756377319946,21.33016284728008,1019.5286688523836,41.97132920257229
30.0,1200.0,65,1.9026297590440449,21.128471469992796,1017.9082703113679,41.0589482442983
30.0,1200.0,65,2.0024984394500787,20.95167193366231,1016.6631473308032,40.1933352514661
30.0,1200.0,65,2.1023796041628637,20.797767305399926,1015.7195891434181,39.37438750679324
30.0,1200.0,65,2.202271554554524,20.66472166515537,1015.0144208133156,38.601751174681624
30.0,1200.0,65,2.302172886644268,20.550505043865435,1014.4946811411218,37.874839145377614
30.0,1200.0,65,2.402082429892863,20.453132014607597,1014.1168924881648,37.19285010339018
30.0,1200.0,65,2.5019992006393608,20.37069360999765,1013.8460712396394,36.554788571068265
30.0,1200.0,65,2.6019223662515376,20.30138253109478,1013.6546068538405,35.959485653186796
30.0,1200.0,65,2.701851217221259,20.243511867917437,1013.5211117786754,35.405620198022085
30.0,1200.0,65,2.8017851452243803,20.195527760647373,1013.429317651296,34.89174009116972
30.0,1200.0,65,2.901723625709382,20.156016589392667,1013.3670679423835,34.41628340776491
30.0,1200.0,65,3.0016662039607267,20.12370738847145,1013.3254354101628,33.97759916490491
30.0,1200.0,65,3.1016124838541645,20.097470241165897,1013.2979753392202,33.57396743740936
30.0,1200.0,65,3.2015621187164247,20.07631142776409,1013.2801127660541,33.20361862528344
30.0,1200.0,65,3.301514803843836,20.059366080066994,1013.2686534129168,32.86475168922672
30.0,1200.0,65,3.40147027033899,20.045889046910776,1013.2614032117999,32.55555120023701
30.0,1200.0,65,3.5014282800023193,20.035244605421546,1013.25687930132,32.27420307987938
30.0,1200.0,65,3.6013886210738213,20.026895569185278,1013.2540954113935,32.018908938309174
30.0,1200.0,65,3.7013511046643495,20.020392254089156,1013.2524058875692,31.78789894693902
30.0,1200.0,65,3.8013155617496426,20.015361671102923,1013.2513946554247,31.579443211103662
